Dataset,ID,Tree,Location,Germ,Mort,Zero,One,TwoPlus,Bacteria,Fungus,Clad,Alt,Aureo,Epicoccum,Other_fungi,Pseudo,Other Bacteria
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,0,1,0,1,0,0,0,0,,1,0,0
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,0,1
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,0,1,0,0,1,1,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,1,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce ,1,1,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,0,0,1,1,1,0,0,1,,0,1,1
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,0,1
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce ,1,0,0,1,0,0,1,1,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,0,1,1,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,0,1
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,0,1
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,0,1,0,1,0,0,1,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,1,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,1,1,0,1,2,1,1,0,0,,0,1,1
Idaho2017,14,LOC,Nez Perce,1,0,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce ,1,1,0,1,0,0,1,0,0,1,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,0,1,0,0,1,0,0,0,,1,0,0
Idaho2017,14,LOC,Nez Perce,0,1,0,1,0,1,0,0,0,0,,0,0,2
Idaho2017,14,LOC,Nez Perce,1,0,0,1,0,1,0,0,0,0,,0,1,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,0,1,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce ,1,0,1,0,0,0,0,0,0,0,,0,0,0
Idaho2017,14,LOC,Nez Perce,1,0,1,0,0,0,0,0,0,0,,0,0,0
